Day,COVID:USA
2022-01-18,75
2022-01-19,100
2022-01-20,90
2022-01-21,85
2022-01-22,54
2022-01-23,38
2022-01-24,44
2022-01-25,43
2022-01-26,39
2022-01-27,37
2022-01-28,33
2022-01-29,28
2022-01-30,27
2022-01-31,30
2022-02-01,29
2022-02-02,27
2022-02-03,26
2022-02-04,24
2022-02-05,22
2022-02-06,21
2022-02-07,24
2022-02-08,25
2022-02-09,24
2022-02-10,22
2022-02-11,21
2022-02-12,18
2022-02-13,16
2022-02-14,19
2022-02-15,20
2022-02-16,20
2022-02-17,19
2022-02-18,18
2022-02-19,16
2022-02-20,15
2022-02-21,17
2022-02-22,17
2022-02-23,17
2022-02-24,15
2022-02-25,14
2022-02-26,14
2022-02-27,13
2022-02-28,16
2022-03-01,16
2022-03-02,16
2022-03-03,15
2022-03-04,14
2022-03-05,12
2022-03-06,11
2022-03-07,15
2022-03-08,15
2022-03-09,14
2022-03-10,14
2022-03-11,13
2022-03-12,11
2022-03-13,12
2022-03-14,15
2022-03-15,16
2022-03-16,15
2022-03-17,13
2022-03-18,14
2022-03-19,12
2022-03-20,11
2022-03-21,13
2022-03-22,13
2022-03-23,13
2022-03-24,12
2022-03-25,11
2022-03-26,10
2022-03-27,10
2022-03-28,12
2022-03-29,14
2022-03-30,14
2022-03-31,13
2022-04-01,12
2022-04-02,10
2022-04-03,11
2022-04-04,13
2022-04-05,13
2022-04-06,13
2022-04-07,14
2022-04-08,13
2022-04-09,11
2022-04-10,11
2022-04-11,15
2022-04-12,15
2022-04-13,14
2022-04-14,14
2022-04-15,13
2022-04-16,0
